id,processor_manufacturer,processor,number_of_cores,number_of_threads,frequency,load_percentile,power
1,0,2,6,12,3.2,100,58.9
1,0,2,6,12,3.2,90,50.7
1,0,2,6,12,3.2,80,43.7
1,0,2,6,12,3.2,70,39.0
1,0,2,6,12,3.2,60,34.0
1,0,2,6,12,3.2,50,30.2
1,0,2,6,12,3.2,40,26.8
1,0,2,6,12,3.2,30,24.0
1,0,2,6,12,3.2,20,21.6
1,0,2,6,12,3.2,10,19.0
1,0,2,6,12,3.2,0,15.6
2,0,2,6,12,3.2,100,61.9
2,0,2,6,12,3.2,90,57.5
2,0,2,6,12,3.2,80,53.5
2,0,2,6,12,3.2,70,49.3
2,0,2,6,12,3.2,60,45.2
2,0,2,6,12,3.2,50,41.2
2,0,2,6,12,3.2,40,37.0
2,0,2,6,12,3.2,30,32.4
2,0,2,6,12,3.2,20,27.7
2,0,2,6,12,3.2,10,23.0
2,0,2,6,12,3.2,0,18.6
3,0,3,8,16,3.2,100,62.5
3,0,3,8,16,3.2,90,53.5
3,0,3,8,16,3.2,80,47.6
3,0,3,8,16,3.2,70,42.6
3,0,3,8,16,3.2,60,38.4
3,0,3,8,16,3.2,50,34.1
3,0,3,8,16,3.2,40,30.2
3,0,3,8,16,3.2,30,27.5
3,0,3,8,16,3.2,20,24.9
3,0,3,8,16,3.2,10,21.7
3,0,3,8,16,3.2,0,17.6
4,0,3,8,16,3.2,100,80.4
4,0,3,8,16,3.2,90,73.7
4,0,3,8,16,3.2,80,67.4
4,0,3,8,16,3.2,70,61.3
4,0,3,8,16,3.2,60,55.4
4,0,3,8,16,3.2,50,49.8
4,0,3,8,16,3.2,40,44.2
4,0,3,8,16,3.2,30,38.5
4,0,3,8,16,3.2,20,32.5
4,0,3,8,16,3.2,10,26.8
4,0,3,8,16,3.2,0,21.2
5,0,3,8,16,3.2,100,73.6
5,0,3,8,16,3.2,90,59.1
5,0,3,8,16,3.2,80,49.7
5,0,3,8,16,3.2,70,43.8
5,0,3,8,16,3.2,60,39.0
5,0,3,8,16,3.2,50,34.7
5,0,3,8,16,3.2,40,30.5
5,0,3,8,16,3.2,30,27.2
5,0,3,8,16,3.2,20,24.4
5,0,3,8,16,3.2,10,21.6
5,0,3,8,16,3.2,0,18.0
6,0,3,8,16,3.2,100,75.7
6,0,3,8,16,3.2,90,69.3
6,0,3,8,16,3.2,80,63.5
6,0,3,8,16,3.2,70,58.0
6,0,3,8,16,3.2,60,52.8
6,0,3,8,16,3.2,50,47.9
6,0,3,8,16,3.2,40,42.6
6,0,3,8,16,3.2,30,37.1
6,0,3,8,16,3.2,20,31.5
6,0,3,8,16,3.2,10,25.9
6,0,3,8,16,3.2,0,20.6
7,0,3,8,16,3.2,100,70.5
7,0,3,8,16,3.2,90,57.4
7,0,3,8,16,3.2,80,49.6
7,0,3,8,16,3.2,70,43.7
7,0,3,8,16,3.2,60,39.4
7,0,3,8,16,3.2,50,35.0
7,0,3,8,16,3.2,40,30.7
7,0,3,8,16,3.2,30,27.7
7,0,3,8,16,3.2,20,24.9
7,0,3,8,16,3.2,10,21.8
7,0,3,8,16,3.2,0,17.9
8,0,3,8,16,3.2,100,72.7
8,0,3,8,16,3.2,90,67.0
8,0,3,8,16,3.2,80,62.0
8,0,3,8,16,3.2,70,56.7
8,0,3,8,16,3.2,60,52.1
8,0,3,8,16,3.2,50,47.3
8,0,3,8,16,3.2,40,42.3
8,0,3,8,16,3.2,30,36.8
8,0,3,8,16,3.2,20,31.3
8,0,3,8,16,3.2,10,25.8
8,0,3,8,16,3.2,0,20.5
9,0,3,8,16,3.2,100,81.5
9,0,3,8,16,3.2,90,70.1
9,0,3,8,16,3.2,80,59.8
9,0,3,8,16,3.2,70,51.1
9,0,3,8,16,3.2,60,45.4
9,0,3,8,16,3.2,50,40.7
9,0,3,8,16,3.2,40,36.5
9,0,3,8,16,3.2,30,33.1
9,0,3,8,16,3.2,20,30.3
9,0,3,8,16,3.2,10,27.2
10,0,3,8,16,3.2,0,21.5
10,0,3,8,16,3.2,100,77.2
10,0,3,8,16,3.2,90,66.7
10,0,3,8,16,3.2,80,56.5
10,0,3,8,16,3.2,70,48.9
10,0,3,8,16,3.2,60,43.5
10,0,3,8,16,3.2,50,38.7
10,0,3,8,16,3.2,40,34.7
10,0,3,8,16,3.2,30,31.5
10,0,3,8,16,3.2,20,28.9
10,0,3,8,16,3.2,10,25.7
10,0,3,8,16,3.2,0,20.0
11,0,3,8,16,3.2,100,78.0
11,0,3,8,16,3.2,90,62.3
11,0,3,8,16,3.2,80,53.0
11,0,3,8,16,3.2,70,47.2
11,0,3,8,16,3.2,60,42.3
11,0,3,8,16,3.2,50,38.1
11,0,3,8,16,3.2,40,34.2
11,0,3,8,16,3.2,30,31.3
11,0,3,8,16,3.2,20,28.7
11,0,3,8,16,3.2,10,25.5
11,0,3,8,16,3.2,0,19.4
12,0,3,8,16,3.2,100,82.8
12,0,3,8,16,3.2,90,66.4
12,0,3,8,16,3.2,80,55.9
12,0,3,8,16,3.2,70,49.7
12,0,3,8,16,3.2,60,44.5
12,0,3,8,16,3.2,50,40.1
12,0,3,8,16,3.2,40,36.1
12,0,3,8,16,3.2,30,33.2
12,0,3,8,16,3.2,20,30.5
12,0,3,8,16,3.2,10,27.5
12,0,3,8,16,3.2,0,21.7
13,0,2,6,12,3.2,100,55.5
13,0,2,6,12,3.2,90,50.7
13,0,2,6,12,3.2,80,46.7
13,0,2,6,12,3.2,70,42.6
